127.0.0.1 - - [16/Dec/2021:17:19:38 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/ HTTP/1.1" 200 36175
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/jquery-ui.min.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/font-awesome.min.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/bootstrap.min.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/owl.carousel.min.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/nice-select.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/elegant-icons.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 25252
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/slicknav.min.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/style.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 58450
0:0:0:0:0:0:0:1 - - [16/Dec/2021:17:19:51 +0700] "GET /BTL_SpringMVC/assets/user/css/custom_style.css;jsessionid=B28D34FAE9F236D9597FD3F09FDD0D3C HTTP/1.1" 200 11549
